1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
ШтрихКод;ЛокальныйКод;Внешний код;Наименование;Полное наименование;ЕдиницаИзмерения;Группа;Группа2;Группа3;Группа4;Группа5;НДС;ЦенаПродажи;Страна;Поставщик;ЦенаЗакупки;Остаток;Производитель;ИНН Производителя;КПП Производителя;Импортер;ИНН Импортера;КПП Ипортера;Табак;Алкоголь;Крепость;Объем;АлкоКод;Вид алкогольной продукции
4630005551663;1532;41c47b9f-5ff5-11e5-88ef-001e8c783f4c;Сервелат Ярмарочный /Даурия/ 350 гр;Сервелат Ярмарочный /Даурия/ 350 гр;шт;Колбасные изделия ;;;;;;122;;;;1;;;;;;;;;;;;;
4604049093854;449;b477d587-e402-11e4-89a4-0025222dc009;Мыло Детское в ассорт. 90 гр;Мыло Детское в ассорт. 90 гр;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;21;;;;1;;;;;;;;;;;;;
4604049093861;449;b477d587-e402-11e4-89a4-0025222dc009;Мыло Детское в ассорт. 90 гр;Мыло Детское в ассорт. 90 гр;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;21;;;;1;;;;;;;;;;;;;
4604049093878;449;b477d587-e402-11e4-89a4-0025222dc009;Мыло Детское в ассорт. 90 гр;Мыло Детское в ассорт. 90 гр;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;21;;;;1;;;;;;;;;;;;;
4604049093885;449;b477d587-e402-11e4-89a4-0025222dc009;Мыло Детское в ассорт. 90 гр;Мыло Детское в ассорт. 90 гр;шт;Зубная паста, щетки, мыло;Хоз. товары;;;;;21;;;;1;;;;;;;;;;;;;
4630005551175;102;2159a955-9c78-11e4-8a08-0025222dc009;Ветчина Юбилейная 400 гр Даурия;Ветчина Юбилейная 400 гр Даурия;шт;Колбасные изделия ;;;;;;134;;;;1;;;;;;;;;;;;;
4600494505690;1430;38742c43-424b-11e5-8a14-001e8c783f4c;Миринда напиток б/а сильногаз. 1л;Миринда напиток б/а сильногаз. 1л;шт;Напитки, мин. вода;Безалкогольная продукция;;;;;74;;;;6;;;;;;;;;;;;;
4600494602207;1430;38742c43-424b-11e5-8a14-001e8c783f4c;Миринда напиток б/а сильногаз. 1л;Миринда напиток б/а сильногаз. 1л;шт;Напитки, мин. вода;Безалкогольная продукция;;;;;74;;;;6;;;;;;;;;;;;;
4670004605981;1308;60ef8c87-2f69-11e5-8a9c-001e8c783f4c;Вода Братское Взморье 1.5л;Вода Братское Взморье 1.5л;шт;Напитки, мин. вода;Безалкогольная продукция;;;;;25;;;;12;;;;;;;;;;;;;
4670004605998;1308;60ef8c87-2f69-11e5-8a9c-001e8c783f4c;Вода Братское Взморье 1.5л;Вода Братское Взморье 1.5л;шт;Напитки, мин. вода;Безалкогольная продукция;;;;;25;;;;12;;;;;;;;;;;;;
4607176440652;1998;5d46836a-f576-11e5-8ae0-001e8c783f4c;Чокопай Лотте Какао  6 шт;Чокопай Лотте Какао  6 шт;шт;Печенье фасованное;Кондитерские изделия;;;;;81;;;;1;;;;;;;;;;;;;
8801062475162;1998;5d46836a-f576-11e5-8ae0-001e8c783f4c;Чокопай Лотте Какао  6 шт;Чокопай Лотте Какао  6 шт;шт;Печенье фасованное;Кондитерские изделия;;;;;81;;;;1;;;;;;;;;;;;;
1099823800071;1512;a0ddc948-5b6b-11e5-8ae2-001e8c783f4c;Пельмени Байкальские /Дали/0,900кг. ;Пельмени Байкальские /Дали/0,900кг. ;шт;Пельмени, вареники;Мороженое, замороженные продукты;;;;;242;;;;3;;;;;;;;;;;;;
